Date,actual,pred,error,abs_error,ape,horizon_day,stage,fold,year_month
2018-07-18,7639039.23,6111566.299216665,-1527472.9307833351,1527472.9307833351,0.19995615741632145,18,tune,2018-06-30,2018-07
2018-07-19,6252432.84,5594364.44386323,-658068.39613677,658068.39613677,0.10524997436626125,19,tune,2018-06-30,2018-07
2018-07-20,5761282.54,5764856.00141307,3573.461413069628,3573.461413069628,0.0006202544985876753,20,tune,2018-06-30,2018-07
2018-07-21,4939690.9,5052363.0570023,112672.15700230002,112672.15700230002,0.022809556161155754,21,tune,2018-06-30,2018-07
2018-07-22,5641320.53,5438266.506256488,-203054.0237435121,203054.0237435121,0.03599405895546802,22,tune,2018-06-30,2018-07
2018-07-23,6121614.15,6598326.814380991,476712.6643809909,476712.6643809909,0.07787368702109244,23,tune,2018-06-30,2018-07
2018-07-24,6821739.77,6682697.791597976,-139041.9784020232,139041.9784020232,0.0203821874023235,24,tune,2018-06-30,2018-07
2018-07-25,7944998.65,7370687.93605652,-574310.7139434805,574310.7139434805,0.07228581642911676,25,tune,2018-06-30,2018-07
2018-07-26,6463508.32,6890750.379202424,427242.0592024233,427242.0592024233,0.0661006434973419,26,tune,2018-06-30,2018-07
2018-07-27,5162979.4,7462862.90617159,2299883.5061715897,2299883.5061715897,0.4454566497343742,27,tune,2018-06-30,2018-07
2018-07-28,6313222.5,7355447.965393145,1042225.4653931446,1042225.4653931446,0.16508612921422375,28,tune,2018-06-30,2018-07
2018-07-29,6597216.94,8129415.623701839,1532198.6837018384,1532198.6837018384,0.23224924959066728,29,tune,2018-06-30,2018-07
2018-07-30,7314460.76,10167510.959057882,2853050.1990578827,2853050.1990578827,0.39005612206714235,30,tune,2018-06-30,2018-07
2018-07-31,12496367.04,9841600.855190292,-2654766.184809707,2654766.184809707,0.21244303854968294,31,tune,2018-06-30,2018-07
2018-08-01,13786351.91,8353622.035683022,-5432729.874316978,5432729.874316978,0.3940658057898783,32,tune,2018-06-30,2018-08
2018-08-02,10106943.25,6326473.375375302,-3780469.8746246984,3780469.8746246984,0.3740468093184058,33,tune,2018-06-30,2018-08
2018-08-03,9026931.62,4643518.83011944,-4383412.789880559,4383412.789880559,0.48559277663837663,34,tune,2018-06-30,2018-08
2018-08-04,6859151.1,3037128.011222092,-3822023.0887779077,3822023.0887779077,0.5572151762013098,35,tune,2018-06-30,2018-08
2018-08-05,3117800.12,3140910.525745595,23110.405745594762,23110.405745594762,0.007412407741390029,36,tune,2018-06-30,2018-08
2018-08-06,3924563.55,3330358.812883782,-594204.7371162176,594204.7371162176,0.1514065779661582,37,tune,2018-06-30,2018-08
2018-08-07,4212970.63,3686961.2708118353,-526009.3591881646,526009.3591881646,0.1248547415551683,38,tune,2018-06-30,2018-08
2018-08-08,4647118.76,3855392.2796800006,-791726.4803199992,791726.4803199992,0.1703693237054263,39,tune,2018-06-30,2018-08
2018-08-09,4946125.63,3802738.3098287876,-1143387.3201712123,1143387.3201712123,0.23116827304914458,40,tune,2018-06-30,2018-08
2018-08-10,3705554.89,4228050.478649942,522495.5886499421,522495.5886499421,0.1410033326074795,41,tune,2018-06-30,2018-08
2018-08-11,4591065.72,3767115.6819523033,-823950.0380476965,823950.0380476965,0.17946814275786419,42,tune,2018-06-30,2018-08
2018-08-12,4030885.81,3863386.7433533557,-167499.06664664438,167499.06664664438,0.04155391011849189,43,tune,2018-06-30,2018-08
2018-08-13,4244815.28,4180638.472900468,-64176.807099532336,64176.807099532336,0.0151188692242769,44,tune,2018-06-30,2018-08
2018-08-14,6041631.13,4932787.564051096,-1108843.5659489036,1108843.5659489036,0.18353380769025923,45,tune,2018-06-30,2018-08
2018-08-15,6058071.07,4896537.388305775,-1161533.6816942254,1161533.6816942254,0.1917332544093487,46,tune,2018-06-30,2018-08
2018-08-16,5333680.81,4141075.780497056,-1192605.0295029436,1192605.0295029436,0.22359887514583832,47,tune,2018-06-30,2018-08
2018-08-17,4314679.61,4002058.875768678,-312620.73423132254,312620.73423132254,0.07245514441136512,48,tune,2018-06-30,2018-08
2018-08-18,4960825.43,3747404.497026745,-1213420.9329732545,1213420.9329732545,0.24460061134891709,49,tune,2018-06-30,2018-08
2018-08-19,4978431.53,3956399.654761027,-1022031.8752389732,1022031.8752389732,0.20529194166480244,50,tune,2018-06-30,2018-08
2018-08-20,4896843.63,4162478.5787518304,-734365.0512481695,734365.0512481695,0.14996702094981323,51,tune,2018-06-30,2018-08
2018-08-21,5971341.33,4983320.288605207,-988021.0413947934,988021.0413947934,0.16546048647913975,52,tune,2018-06-30,2018-08
2018-08-22,7086185.79,5032050.062714789,-2054135.727285211,2054135.727285211,0.289878897923337,53,tune,2018-06-30,2018-08
2018-08-23,5392520.44,4040182.221155296,-1352338.2188447043,1352338.2188447043,0.2507803602956217,54,tune,2018-06-30,2018-08
2018-08-24,3329330.38,4090387.6460126946,761057.2660126947,761057.2660126947,0.22859169236688812,55,tune,2018-06-30,2018-08
2018-08-25,4716376.41,3967722.0392677155,-748654.3707322846,748654.3707322846,0.15873507660349878,56,tune,2018-06-30,2018-08
2018-08-26,4717920.92,3789104.2578654448,-928816.6621345552,928816.6621345552,0.19686990898833362,57,tune,2018-06-30,2018-08
2018-08-27,6151109.31,4555750.907845283,-1595358.4021547167,1595358.4021547167,0.25936108785469086,58,tune,2018-06-30,2018-08
2018-08-28,12207075.48,6034576.954673471,-6172498.5253265295,6172498.5253265295,0.5056492470649103,59,tune,2018-06-30,2018-08
2018-08-29,10330752.34,7740425.162036999,-2590327.1779630007,2590327.1779630007,0.25073945175642465,60,tune,2018-06-30,2018-08
2018-08-30,10819458.93,7693621.256719132,-3125837.6732808677,3125837.6732808677,0.288908871830328,61,tune,2018-06-30,2018-08
2018-08-31,9769233.6,7266558.261767905,-2502675.3382320944,2502675.3382320944,0.2561792910993647,62,tune,2018-06-30,2018-08
2018-09-01,8834290.53,6218597.7289681835,-2615692.801031816,2615692.801031816,0.29608408192477864,63,tune,2018-06-30,2018-09
2018-09-02,2926208.13,4188753.1149266837,1262544.9849266838,1262544.9849266838,0.4314611021625054,64,tune,2018-06-30,2018-09
2018-09-03,3730127.97,3067527.0126120104,-662600.9573879899,662600.9573879899,0.17763491298878678,65,tune,2018-06-30,2018-09
2018-09-04,2895558.56,3464119.469016263,568560.9090162627,568560.9090162627,0.1963562114994016,66,tune,2018-06-30,2018-09
2018-09-05,2683914.3,3911932.5397501495,1228018.2397501497,1228018.2397501497,0.45754748568169623,67,tune,2018-06-30,2018-09
2018-09-06,2220736.04,3785263.3006439786,1564527.2606439786,1564527.2606439786,0.70450842984652,68,tune,2018-06-30,2018-09
2018-09-07,2737800.42,3479578.5411053603,741778.1211053603,741778.1211053603,0.27093944309693707,69,tune,2018-06-30,2018-09
2018-09-08,3138040.11,3502579.3615262844,364539.2515262845,364539.2515262845,0.11616781135607744,70,tune,2018-06-30,2018-09
2018-09-09,4428844.18,3807119.830546824,-621724.3494531759,621724.3494531759,0.14038072331846543,71,tune,2018-06-30,2018-09
2018-09-10,3518686.76,4242490.827467381,723804.0674673812,723804.0674673812,0.20570289907459147,72,tune,2018-06-30,2018-09
2018-09-11,2737148.82,4580426.31740851,1843277.4974085097,1843277.4974085097,0.673429768940554,73,tune,2018-06-30,2018-09
2018-09-12,3907657.89,4695106.28132085,787448.3913208502,787448.3913208502,0.2015141584773815,74,tune,2018-06-30,2018-09
2018-09-13,3198359.98,4511674.520641325,1313314.540641325,1313314.540641325,0.41062123990224675,75,tune,2018-06-30,2018-09
2018-09-14,3759913.17,4028475.056855767,268561.8868557671,268561.8868557671,0.07142768322380358,76,tune,2018-06-30,2018-09
2018-09-15,3182906.62,3839480.494784245,656573.8747842447,656573.8747842447,0.2062812244187813,77,tune,2018-06-30,2018-09
2018-09-16,4513878.02,4097280.054549956,-416597.9654500433,416597.9654500433,0.0922926945753052,78,tune,2018-06-30,2018-09
2018-09-17,3684035.33,4771138.962194748,1087103.6321947481,1087103.6321947481,0.29508501814360943,79,tune,2018-06-30,2018-09
2018-09-18,3511249.8,5026844.406261067,1515594.606261067,1515594.606261067,0.43163964189077836,80,tune,2018-06-30,2018-09
2018-09-19,3203671.41,4946564.296952263,1742892.8869522633,1742892.8869522633,0.5440298532215148,81,tune,2018-06-30,2018-09
2018-09-20,2967505.47,4573620.09539929,1606114.6253992901,1606114.6253992901,0.5412339224430444,82,tune,2018-06-30,2018-09
2018-09-21,3391440.87,4040265.8197749355,648824.9497749354,648824.9497749354,0.1913124759196923,83,tune,2018-06-30,2018-09
2018-09-22,3067943.56,3653443.0568192177,585499.4968192177,585499.4968192177,0.19084428555107372,84,tune,2018-06-30,2018-09
2018-09-23,4892505.92,4098803.5360681727,-793702.3839318273,793702.3839318273,0.16222819081061576,85,tune,2018-06-30,2018-09
2018-09-24,4916532.68,5219019.885614502,302487.20561450254,302487.20561450254,0.061524498117340405,86,tune,2018-06-30,2018-09
2018-09-25,3834324.5,5574276.953013313,1739952.453013313,1739952.453013313,0.4537833073370063,87,tune,2018-06-30,2018-09
2018-09-26,4727732.71,5829693.374071193,1101960.664071193,1101960.664071193,0.23308438350170455,88,tune,2018-06-30,2018-09
2018-09-27,5609192.49,6632488.150098279,1023295.6600982789,1023295.6600982789,0.1824319029740195,89,tune,2018-06-30,2018-09
2018-09-28,5221949.72,7439116.772547597,2217167.0525475973,2217167.0525475973,0.4245860591219169,90,tune,2018-06-30,2018-09
2018-09-29,5089871.44,5534390.534576626,444519.09457662515,444519.09457662515,0.08733405152107833,91,tune,2018-06-30,2018-09
2018-09-30,5437181.81,5950395.75987826,513213.9498782605,513213.9498782605,0.09438969815840323,92,tune,2018-06-30,2018-09
2018-10-01,4742181.64,4035523.211136074,-706658.4288639259,706658.4288639259,0.14901547062291057,93,tune,2018-06-30,2018-10
2018-10-02,1807247.84,2793755.8663479574,986508.0263479573,986508.0263479573,0.5458620586028518,94,tune,2018-06-30,2018-10
2018-10-03,1798411.4,3030346.1156965313,1231934.7156965313,1231934.7156965313,0.6850127371837897,95,tune,2018-06-30,2018-10
2018-10-04,2726313.6,3418859.238963022,692545.6389630218,692545.6389630218,0.25402273566878797,96,tune,2018-06-30,2018-10
2018-10-05,2484898.47,3147306.3664866616,662407.8964866614,662407.8964866614,0.2665734252259656,97,tune,2018-06-30,2018-10
2018-10-06,2157385.6,3180379.0951182498,1022993.4951182497,1022993.4951182497,0.47418203547768634,98,tune,2018-06-30,2018-10
2018-10-07,2767415.65,3592953.1864308137,825537.5364308138,825537.5364308138,0.29830630481214987,99,tune,2018-06-30,2018-10
2018-10-08,3075660.75,4037805.2913967627,962144.5413967627,962144.5413967627,0.3128253144943774,100,tune,2018-06-30,2018-10
2018-10-09,2768213.46,4010772.288665612,1242558.8286656123,1242558.8286656123,0.448866695657788,101,tune,2018-06-30,2018-10
2018-10-10,1759060.3,4248715.652903071,2489655.352903071,2489655.352903071,1.4153325800730485,102,tune,2018-06-30,2018-10
2018-10-11,2288675.28,4242112.825988825,1953437.5459888256,1953437.5459888256,0.8535232424884782,103,tune,2018-06-30,2018-10
2018-10-12,3801607.19,3997805.8229619768,196198.6329619768,196198.6329619768,0.051609391280106665,104,tune,2018-06-30,2018-10
2018-10-13,3486645.25,3795377.0049519236,308731.7549519236,308731.7549519236,0.08854693632853058,105,tune,2018-06-30,2018-10
2018-10-14,3516624.21,4141931.2216057456,625307.0116057456,625307.0116057456,0.177814567114564,106,tune,2018-06-30,2018-10
2018-10-15,3593428.63,4304609.0104763,711180.3804762997,711180.3804762997,0.19791136925301886,107,tune,2018-06-30,2018-10
2018-10-16,4126610.48,4492347.112400319,365736.63240031945,365736.63240031945,0.08862882362483591,108,tune,2018-06-30,2018-10
2018-10-17,2193280.79,4710972.980586498,2517692.190586498,2517692.190586498,1.1479114767546466,109,tune,2018-06-30,2018-10
2018-10-18,2364712.74,4952754.723638613,2588041.9836386126,2588041.9836386126,1.0944424410884732,110,tune,2018-06-30,2018-10
2018-10-19,2753648.17,4116702.634762687,1363054.4647626872,1363054.4647626872,0.494999499069152,111,tune,2018-06-30,2018-10
2018-10-20,3067392.26,3859627.562406646,792235.3024066463,792235.3024066463,0.2582764887092225,112,tune,2018-06-30,2018-10
2018-10-21,2965006.46,3967969.354721299,1002962.894721299,1002962.894721299,0.3382666811192374,113,tune,2018-06-30,2018-10
2018-10-22,3760345.32,4204409.710819783,444064.39081978286,444064.39081978286,0.11809138603786071,114,tune,2018-06-30,2018-10
2018-10-23,3210408.93,4342561.168073706,1132152.2380737062,1132152.2380737062,0.35265047623503404,115,tune,2018-06-30,2018-10
2018-10-24,2388950.39,4616729.72004529,2227779.33004529,2227779.33004529,0.9325347815386362,116,tune,2018-06-30,2018-10
2018-10-25,2281239.32,5068846.272660624,2787606.9526606244,2787606.9526606244,1.2219704124075086,117,tune,2018-06-30,2018-10
2018-10-26,2925667.62,4784992.187513677,1859324.5675136773,1859324.5675136773,0.6355214634783691,118,tune,2018-06-30,2018-10
2018-10-27,3517566.83,4517935.901064359,1000369.0710643586,1000369.0710643586,0.28439234260813134,119,tune,2018-06-30,2018-10
2018-10-28,5148086.02,6209421.292137068,1061335.2721370682,1061335.2721370682,0.20616113794793745,120,tune,2018-06-30,2018-10
2018-10-29,6121160.36,7366538.371714737,1245378.011714737,1245378.011714737,0.20345456391780214,121,tune,2018-06-30,2018-10
2018-10-30,5647021.76,7290878.567384464,1643856.807384464,1643856.807384464,0.2911015535708621,122,tune,2018-06-30,2018-10
2018-10-31,5340696.76,7017117.226434428,1676420.4664344285,1676420.4664344285,0.3138954600437619,123,tune,2018-06-30,2018-10
2018-11-01,4100504.23,6192685.738749038,2092181.5087490384,2092181.5087490384,0.5102254238496514,124,tune,2018-06-30,2018-11
2018-11-02,1332091.2,4393190.22913121,3061099.0291312095,3061099.0291312095,2.297965056094665,125,tune,2018-06-30,2018-11
2018-11-03,1775113.55,1938883.7150558757,163770.16505587567,163770.16505587567,0.09225897974576086,126,tune,2018-06-30,2018-11
2018-11-04,2595301.17,2603037.56425702,7736.394257020205,7736.394257020205,0.0029809235037720904,127,tune,2018-06-30,2018-11
2018-11-05,2667990.75,2882699.8077180525,214709.05771805253,214709.05771805253,0.0804759378262659,128,tune,2018-06-30,2018-11
2018-11-06,2019349.93,3469333.7907811394,1449983.8607811395,1449983.8607811395,0.7180448713914281,129,tune,2018-06-30,2018-11
2018-11-07,2141247.67,3598088.9294332117,1456841.2594332118,1456841.2594332118,0.6803702718953627,130,tune,2018-06-30,2018-11
2018-11-08,1913450.02,3609990.6141709,1696540.5941709,1696540.5941709,0.8866396176738915,131,tune,2018-06-30,2018-11
2018-11-09,2619129.29,3147113.349584209,527984.0595842088,527984.0595842088,0.2015876274608073,132,tune,2018-06-30,2018-11
2018-11-10,2402388.27,3029585.1370516894,627196.8670516894,627196.8670516894,0.2610722316970393,133,tune,2018-06-30,2018-11
2018-11-11,3568388.14,3321618.9246558812,-246769.2153441189,246769.2153441189,0.06915425275012793,134,tune,2018-06-30,2018-11
2018-11-12,2517159.72,3545730.13020902,1028570.4102090197,1028570.4102090197,0.40862341870345026,135,tune,2018-06-30,2018-11
2018-11-13,1925203.6,3820719.775402801,1895516.175402801,1895516.175402801,0.9845795922066637,136,tune,2018-06-30,2018-11
2018-11-14,1687382.45,3863134.2626243145,2175751.812624315,2175751.812624315,1.2894242278176562,137,tune,2018-06-30,2018-11
2018-11-15,2055680.2,3665886.4585573897,1610206.2585573897,1610206.2585573897,0.7832960878629807,138,tune,2018-06-30,2018-11
2018-11-16,2040967.69,3266812.589002807,1225844.8990028072,1225844.8990028072,0.600619453707671,139,tune,2018-06-30,2018-11
2018-11-17,2025956.74,3099977.1598236253,1074020.4198236254,1074020.4198236254,0.5301299867950908,140,tune,2018-06-30,2018-11
2018-11-18,3630560.3,3095012.7895998484,-535547.5104001514,535547.5104001514,0.14751098071560784,141,tune,2018-06-30,2018-11
2018-11-19,2171786.9,3089901.3395289793,918114.4395289794,918114.4395289794,0.4227460988594136,142,tune,2018-06-30,2018-11
2018-11-20,2495899.61,3009382.321151562,513482.71115156217,513482.71115156217,0.20573051459852673,143,tune,2018-06-30,2018-11
2018-11-21,1870994.01,2718115.552746001,847121.5427460012,847121.5427460012,0.45276550230430784,144,tune,2018-06-30,2018-11
2018-11-22,1690197.81,2273973.078916341,583775.268916341,583775.268916341,0.34538872637418755,145,tune,2018-06-30,2018-11
2018-11-23,1647035.11,1990334.7586926217,343299.6486926216,343299.6486926216,0.20843493050528936,146,tune,2018-06-30,2018-11
2018-11-24,1991985.26,2115933.0037949635,123947.74379496346,123947.74379496346,0.062223223376142583,147,tune,2018-06-30,2018-11
2018-11-25,2085511.05,2630416.48509352,544905.43509352,544905.43509352,0.26128149025799696,148,tune,2018-06-30,2018-11
2018-11-26,2543960.96,2927083.7083180165,383122.7483180165,383122.7483180165,0.1506008756981933,149,tune,2018-06-30,2018-11
2018-11-27,2369522.33,3533804.5460200906,1164282.2160200905,1164282.2160200905,0.491357351344349,150,tune,2018-06-30,2018-11
2018-11-28,1733474.59,4661469.554622058,2927994.964622058,2927994.964622058,1.6890902130974172,151,tune,2018-06-30,2018-11
2018-11-29,2226459.09,4750172.743217243,2523713.653217243,2523713.653217243,1.1335100045414457,152,tune,2018-06-30,2018-11
2018-11-30,2058963.14,4268967.350592257,2210004.210592258,2210004.210592258,1.0733578312588237,153,tune,2018-06-30,2018-11
2018-12-01,1216044.13,2832138.846168227,1616094.7161682271,1616094.7161682271,1.3289770299439934,154,tune,2018-06-30,2018-12
2018-12-02,977052.29,2361455.192428537,1384402.9024285371,1384402.9024285371,1.4169179240432843,155,tune,2018-06-30,2018-12
2018-12-03,1855981.25,1762062.801882356,-93918.44811764406,93918.44811764406,0.0506031233438614,156,tune,2018-06-30,2018-12
2018-12-04,1606060.57,1571159.7899569038,-34900.78004309628,34900.78004309628,0.021730674854371326,157,tune,2018-06-30,2018-12
2018-12-05,1085024.44,1706435.329285604,621410.889285604,621410.889285604,0.5727160295906367,158,tune,2018-06-30,2018-12
2018-12-06,942014.91,1774754.2263032566,832739.3163032565,832739.3163032565,0.8839980211175814,159,tune,2018-06-30,2018-12
2018-12-07,1200649.15,1799642.6454089046,598993.4954089047,598993.4954089047,0.49889136673182566,160,tune,2018-06-30,2018-12
2018-12-08,1453175.2,1757754.8497767365,304579.6497767365,304579.6497767365,0.20959595909477158,161,tune,2018-06-30,2018-12
2018-12-09,1834112.01,1881922.8101613987,47810.800161398714,47810.800161398714,0.026067546529722967,162,tune,2018-06-30,2018-12
2018-12-10,1719022.37,2214906.658185342,495884.28818534175,495884.28818534175,0.28846878134886733,163,tune,2018-06-30,2018-12
2018-12-11,1670763.83,2306582.1714944877,635818.3414944876,635818.3414944876,0.38055548610630835,164,tune,2018-06-30,2018-12
2018-12-12,1416824.27,2549264.7278460413,1132440.4578460413,1132440.4578460413,0.7992808154295954,165,tune,2018-06-30,2018-12
2018-12-13,1605917.55,2608349.310212144,1002431.7602121441,1002431.7602121441,0.6242112244256526,166,tune,2018-06-30,2018-12
2018-12-14,1986080.6,2535026.1615742813,548945.5615742812,548945.5615742812,0.2763964169300486,167,tune,2018-06-30,2018-12
2018-12-15,1761139.67,2524365.3171966164,763225.6471966165,763225.6471966165,0.43337031139422155,168,tune,2018-06-30,2018-12
2018-12-16,1956185.08,2486091.4705518195,529906.3905518195,529906.3905518195,0.2708876557589425,169,tune,2018-06-30,2018-12
2018-12-17,1975625.37,2823050.8309307117,847425.4609307116,847425.4609307116,0.4289403617704664,170,tune,2018-06-30,2018-12
2018-12-18,1917848.83,2995661.8669074597,1077813.0369074596,1077813.0369074596,0.5619906115892667,171,tune,2018-06-30,2018-12
2018-12-19,1548668.19,3071586.201504222,1522918.0115042222,1522918.0115042222,0.9833726948987196,172,tune,2018-06-30,2018-12
2018-12-20,2111859.13,3073666.4550162433,961807.3250162434,961807.3250162434,0.4554315727565803,173,tune,2018-06-30,2018-12
2018-12-21,1795780.71,2840077.2432535673,1044296.5332535673,1044296.5332535673,0.5815278711026846,174,tune,2018-06-30,2018-12
2018-12-22,1497206.71,2835063.290666709,1337856.5806667092,1337856.5806667092,0.8935683841990725,175,tune,2018-06-30,2018-12
2018-12-23,1221387.72,2747906.595253348,1526518.875253348,1526518.875253348,1.24982333640406,176,tune,2018-06-30,2018-12
2018-12-24,2110373.43,2385589.2420858485,275215.8120858483,275215.8120858483,0.13041095389731489,177,tune,2018-06-30,2018-12
2018-12-25,1398293.31,2753936.415767692,1355643.105767692,1355643.105767692,0.9694983849759619,178,tune,2018-06-30,2018-12
2018-12-26,1989426.16,3343977.5029651364,1354551.3429651365,1354551.3429651365,0.6808754052802526,179,tune,2018-06-30,2018-12
2018-12-27,2379859.2,3336376.301573832,956517.1015738319,956517.1015738319,0.4019217193915639,180,tune,2018-06-30,2018-12
2018-12-28,4637468.16,4351180.063566946,-286288.0964330537,286288.0964330537,0.06173370609903092,181,tune,2018-06-30,2018-12
2018-12-29,4597405.16,5814539.477904388,1217134.3179043876,1217134.3179043876,0.26474375773841685,182,tune,2018-06-30,2018-12
2018-12-30,3975279.59,5974960.629319433,1999681.0393194333,1999681.0393194333,0.5030290308006822,183,tune,2018-06-30,2018-12
2018-12-31,3827364.78,5856730.692735862,2029365.9127358622,2029365.9127358622,0.5302253716030334,184,tune,2018-06-30,2018-12
2019-01-01,2430742.1,4123084.2335503013,1692342.1335503012,1692342.1335503012,0.6962244713457265,185,tune,2018-06-30,2019-01
2019-01-02,857486.8,2637532.0034174337,1780045.2034174337,1780045.2034174337,2.0758864199628886,186,tune,2018-06-30,2019-01
2019-01-03,1095516.84,1642904.4435225395,547387.6035225394,547387.6035225394,0.49966151458022257,187,tune,2018-06-30,2019-01
2019-01-04,1356732.44,1370528.1412714159,13795.701271415921,13795.701271415921,0.010168328599422242,188,tune,2018-06-30,2019-01
2019-01-05,1752585.71,1423557.0016034406,-329028.70839655935,329028.70839655935,0.18773901129010082,189,tune,2018-06-30,2019-01
2019-01-06,1660128.37,1857427.6518364458,197299.28183644568,197299.28183644568,0.11884579855499106,190,tune,2018-06-30,2019-01
2019-01-07,1936096.71,1945198.1314152905,9101.421415290562,9101.421415290562,0.004700912598157642,191,tune,2018-06-30,2019-01
2019-01-08,1715399.79,2095603.3935638191,380203.6035638191,380203.6035638191,0.2216413956561223,192,tune,2018-06-30,2019-01
2019-01-09,1858318.85,2363978.881378215,505660.0313782147,505660.0313782147,0.27210617347944066,193,tune,2018-06-30,2019-01
2019-01-10,1259650.79,2504937.9531525853,1245287.1631525853,1245287.1631525853,0.9885971358399935,194,tune,2018-06-30,2019-01
2019-01-11,2153841.45,2310864.678333507,157023.22833350673,157023.22833350673,0.07290380094296482,195,tune,2018-06-30,2019-01
2019-01-12,2073990.81,2360247.278000174,286256.46800017403,286256.46800017403,0.13802205227716222,196,tune,2018-06-30,2019-01
2019-01-13,3354624.45,2525161.7438516044,-829462.7061483958,829462.7061483958,0.24725948269660877,197,tune,2018-06-30,2019-01
2019-01-14,2361690.18,2618827.959731664,257137.77973166388,257137.77973166388,0.10887870979404414,198,tune,2018-06-30,2019-01
2019-01-15,1504083.3,2767394.167012649,1263310.867012649,1263310.867012649,0.8399208122400196,199,tune,2018-06-30,2019-01
2019-01-16,1724908.79,2909348.461129577,1184439.6711295769,1184439.6711295769,0.686668001227808,200,tune,2018-06-30,2019-01
2019-01-17,2280332.07,2792207.372602105,511875.3026021053,511875.3026021053,0.22447401820828022,201,tune,2018-06-30,2019-01
2019-01-18,1474326.17,2568740.0569695802,1094413.8869695803,1094413.8869695803,0.7423146310762294,202,tune,2018-06-30,2019-01
2019-01-19,1754206.62,2555850.196896811,801643.5768968109,801643.5768968109,0.4569835547062357,203,tune,2018-06-30,2019-01
2019-01-20,3160071.59,2762043.2143237353,-398028.3756762645,398028.3756762645,0.12595549320332472,204,tune,2018-06-30,2019-01
2019-01-21,2299476.91,2817285.371756014,517808.4617560138,517808.4617560138,0.22518532780397163,205,tune,2018-06-30,2019-01
2019-01-22,2108562.98,2809794.1070873775,701231.1270873775,701231.1270873775,0.3325635201502862,206,tune,2018-06-30,2019-01
2019-01-23,1826741.5,3196085.769535168,1369344.269535168,1369344.269535168,0.7496103140675175,207,tune,2018-06-30,2019-01
2019-01-24,2523490.79,2821733.862424289,298243.07242428884,298243.07242428884,0.11818670930211274,208,tune,2018-06-30,2019-01
2019-01-25,2014411.34,2713124.7649364546,698713.4249364545,698713.4249364545,0.3468573727034591,209,tune,2018-06-30,2019-01
2019-01-26,2940618.52,2963107.860131831,22489.34013183089,22489.34013183089,0.007647826461975384,210,tune,2018-06-30,2019-01
2019-01-27,4391507.1,3553022.3666554354,-838484.7333445642,838484.7333445642,0.1909332523553393,211,tune,2018-06-30,2019-01
2019-01-28,4748349.69,4536395.588428053,-211954.10157194734,211954.10157194734,0.044637424665315104,212,tune,2018-06-30,2019-01
2019-01-29,4822586.51,5447184.154129121,624597.6441291217,624597.6441291217,0.12951507304927987,213,tune,2018-06-30,2019-01
2019-01-30,3962494.16,5769289.622414496,1806795.4624144956,1806795.4624144956,0.455974290297628,214,tune,2018-06-30,2019-01
2019-01-31,3557233.24,5724562.67882854,2167329.43882854,2167329.43882854,0.6092739195331875,215,tune,2018-06-30,2019-01
2019-02-01,2922884.32,4673849.377340798,1750965.0573407984,1750965.0573407984,0.5990538336942457,216,tune,2018-06-30,2019-02
